Company,Trip Count
Flash Cab,23046
Taxi Affiliation Services,18708
Sun Taxi,16842
Taxicab Insurance Agency Llc,15268
City Service,13023
Chicago Independents,8075
5 Star Taxi,6331
Globe Taxi,5532
Blue Ribbon Taxi Association,5170
Medallion Leasin,4881
Star North Taxi Management Llc,2653
"Taxicab Insurance Agency, LLC",1795
Choice Taxi Association,1387
Choice Taxi Association Inc,1276
Chicago City Taxi Association,1274
U Taxicab,794
Top Cab,614
Koam Taxi Association,401
Patriot Taxi Dba Peace Taxi Associat,362
Chicago Taxicab,348
Setare Inc,200
312 Medallion Management Corp,168
3591 - 63480 Chuks Cab,156
5167 - 71969 5167 Taxi Inc,82
Metro Jet Taxi A.,81
6574 - Babylon Express Inc.,40
Taxi Affiliation Services Llc - Yell,36
4053 - 40193 Adwar H. Nikola,23
2733 - 74600 Benny Jona,23
Petani Cab Corp,23
3556 - 36214 RC Andrews Cab,7
