Variable,Coefficient,Std Error,P-Value,Significance
const,3.4247074089508476,0.10262127975500779,1.199272089841839e-242,***
trip_miles,2.5690365660677856,0.005477444489242688,0.0,***
trip_minutes,0.0733653777832054,0.0014457290630376903,0.0,***
is_weekday,-0.3523386449475433,0.09637799717471504,0.00025653265159436637,***
is_rush_hour,-1.0780056676177845,0.09199416131224848,1.0865140501652314e-31,***
is_work_hour,-0.8990439575048752,0.0906376789231959,3.53756883420122e-23,***
Comp_City Service,1.3041100787539721,0.10470171751531901,1.400411539327041e-35,***
Comp_Sun Taxi,1.5996169116277823,0.09710010673523956,6.993185866265344e-61,***
Comp_Taxi Affiliation Services,6.968907311093843,0.09563095302285747,0.0,***
Comp_Taxicab Insurance Agency Llc,2.2351869315526907,0.10007795481827153,3.4994682454535947e-110,***
Pay_Credit Card,6.613672506727702,0.07809849080933913,0.0,***
Pay_Other,1.042518989792727,0.08327530399533847,6.317009027592997e-36,***
